Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
948	-1260.38	-1475.076	214.6957	0.8118261	0.9983	0.00169956	3.956473
954	-1260.448	-1475.669	215.2203	0.8118261	0.9983	0.00169956	3.654457
960	-1250.026	-1465.301	215.2754	0.7567546	0.969586	0.0304138	3.654457
966	-1259.777	-1475.71	215.9329	0.7938369	0.974268	0.0257319	3.248223
972	-1275.412	-1493.487	218.0757	1.18002	0.977501	0.0224986	1.642959
978	-1264.217	-1481.58	217.3632	1.18002	0.995225	0.0047748	2.128733
984	-1265.765	-1483.351	217.5856	1.346673	0.989027	0.0109727	1.869168
990	-1267.465	-1485.224	217.7591	1.346673	0.981433	0.018567	1.749306
996	-1275.583	-1493.113	217.5295	1.230838	0.98965	0.0103502	1.985297
1002	-1261.288	-1478.828	217.5399	1.220446	0.978581	0.0214193	1.985297
1008	-1259.716	-1477.263	217.5468	1.203562	0.983744	0.0162563	1.991942
1014	-1260.343	-1475.7	215.3569	0.8739963	0.996208	0.00379232	3.539038
1020	-1260.183	-1476.635	216.4527	0.9591901	0.994555	0.00544502	2.838223
1026	-1257.732	-1474.243	216.5115	0.9003387	0.990283	0.00971689	2.838223
1032	-1251.071	-1466.74	215.6686	0.9357185	0.996338	0.00366161	3.320482
1038	-1250.133	-1466.688	216.5553	1.192434	0.998703	0.00129676	2.632673
1044	-1264.549	-1480.791	216.2423	1.064654	0.996028	0.00397165	2.901761
1050	-1271.139	-1487.716	216.5776	1.026617	0.992943	0.00705713	2.720921
1056	-1259.511	-1476.305	216.7937	1.135128	0.967664	0.0323361	2.520326
1062	-1266.942	-1484.02	217.0783	1.176719	0.995386	0.00461431	2.314659
1068	-1255.905	-1472.6	216.6943	1.140772	0.993156	0.00684384	2.578653
1074	-1257.28	-1473.538	216.2583	1.150889	0.985165	0.0148349	2.839836
1080	-1256.82	-1473.242	216.4219	0.9873023	0.954372	0.045628	2.839836
1086	-1258.537	-1475.335	216.7977	1.165482	0.964893	0.0351072	2.498894
1092	-1258.93	-1475.494	216.564	1.195586	0.9887	0.0112996	2.625412
1098	-1249.557	-1464.973	215.4162	0.8267203	0.99659	0.00341013	3.532056
1104	-1255.315	-1469.261	213.9457	0.7471906	0.98483	0.0151702	4.41909
1110	-1257.379	-1471.809	214.4301	0.7910035	0.983561	0.0164393	4.119907
1116	-1267.669	-1482.337	214.6683	0.8858343	0.990536	0.00946383	3.929779
1122	-1256.546	-1473.36	216.8135	1.063311	0.991527	0.00847297	2.552749
1128	-1252.119	-1468.729	216.6092	1.233176	0.997952	0.0020482	2.574134
1134	-1250.35	-1467.011	216.6617	1.233176	0.996949	0.00305102	2.541506
1140	-1247.863	-1464.727	216.8639	1.030922	0.998993	0.00100689	2.541506
1146	-1267.246	-1482.774	215.5279	0.9693706	0.995077	0.00492251	3.383388
1152	-1262.12	-1479.416	217.2958	1.218028	0.995252	0.00474777	2.147893
1158	-1256.749	-1474.346	217.5967	1.218028	0.994391	0.00560938	1.948824
1164	-1275.495	-1493.277	217.7814	1.207619	0.991433	0.00856658	1.830278
